uid,task,valid,source_file
aaop,Voice Assistant,Yes,our_preprocessed_train.csv
aazd,Picture Description,Yes,our_preprocessed_test.csv
abgk,Picture Description,Yes,our_preprocessed_validation.csv
ablf,Picture Description,Yes,our_preprocessed_train.csv
acad,Sentence Reading,Yes,our_preprocessed_train.csv
acdn,Picture Description,Yes,our_preprocessed_test.csv
acis,Sentence Reading,Yes,our_preprocessed_train.csv
acqd,Picture Description,No,our_preprocessed_train.csv
acwh,Sentence Reading,Yes,our_preprocessed_validation.csv
adoi,Picture Description,Yes,our_preprocessed_test.csv
adtx,Semantic Verbal Fluency,Yes,our_preprocessed_validation.csv
afop,Picture Description,Yes,our_preprocessed_train.csv
afpc,Picture Description,Yes,our_preprocessed_train.csv
afrv,Picture Description,Yes,our_preprocessed_train.csv
afvm,Picture Description,Yes,our_preprocessed_train.csv
agiy,Picture Description,Yes,our_preprocessed_test.csv
agni,Picture Description,Yes,our_preprocessed_test.csv
agok,Picture Description,Yes,our_preprocessed_validation.csv
agon,Picture Description,Yes,our_preprocessed_test.csv
ahmw,Picture Description,Yes,our_preprocessed_train.csv
ahyz,Picture Description,Yes,our_preprocessed_train.csv
aijc,Picture Description,Yes,our_preprocessed_train.csv
aikf,Picture Description,Yes,our_preprocessed_train.csv
aikh,Picture Description,Yes,our_preprocessed_test.csv
ajdc,Picture Description,Yes,our_preprocessed_train.csv
ajef,Picture Description,Yes,our_preprocessed_test.csv
ajmu,Sentence Reading,Yes,our_preprocessed_train.csv
ajxm,Semantic Verbal Fluency,Yes,our_preprocessed_test.csv
akni,Picture Description,Yes,our_preprocessed_train.csv
akqh,Picture Description,Yes,our_preprocessed_train.csv
allm,Picture Description,Yes,our_preprocessed_train.csv
alov,Picture Description,Yes,our_preprocessed_train.csv
alrq,Picture Description,Yes,our_preprocessed_train.csv
also,Picture Description,Yes,our_preprocessed_train.csv
aluc,Picture Description,Yes,our_preprocessed_train.csv
alyi,Picture Description,Yes,our_preprocessed_train.csv
amdz,Picture Description,Yes,our_preprocessed_test.csv
amhc,Personal Narrative,Yes,our_preprocessed_test.csv
amhy,Picture Description,Yes,our_preprocessed_train.csv
ammk,Picture Description,Yes,our_preprocessed_test.csv
amsn,Voice Assistant,Yes,our_preprocessed_train.csv
anek,Other,Yes,our_preprocessed_train.csv
anlg,Picture Description,Yes,our_preprocessed_validation.csv
anpg,Picture Description,Yes,our_preprocessed_validation.csv
ansa,Picture Description,Yes,our_preprocessed_train.csv
aohw,Picture Description,Yes,our_preprocessed_train.csv
aooz,Voice Assistant,Yes,our_preprocessed_train.csv
aowd,Picture Description,Yes,our_preprocessed_validation.csv
apez,Picture Description,Yes,our_preprocessed_train.csv
apns,Picture Description,Yes,our_preprocessed_train.csv
apps,Picture Description,Yes,our_preprocessed_validation.csv
apyc,Picture Description,Yes,our_preprocessed_train.csv
arri,Sentence Reading,Yes,our_preprocessed_train.csv
ascs,Sentence Reading,Yes,our_preprocessed_test.csv
atak,Sentence Reading,Yes,our_preprocessed_train.csv
