state_id,state_name,metric_id,task_scope,language_scope,abnormal_direction,evidence_status,confounds,report_permission,implementation_status,reference_key
S01,pause_fluency_burden,silence_fraction,patient_speech,all,higher_supports_burden,literature_supported_construct,role_segmentation_vad,conditional,reimplement,R_VOLETI2019
S01,pause_fluency_burden,long_pause_rate_min,patient_speech,all,higher_supports_burden,literature_supported_construct,role_task_prompt_vad,conditional,reimplement,R_VOLETI2019
S01,pause_fluency_burden,pause_mean_sec,patient_speech,all,higher_supports_burden,literature_supported_construct,role_task_prompt_vad,conditional,reimplement,R_VOLETI2019
S01,pause_fluency_burden,pause_p90_sec,patient_speech,all,higher_supports_burden,literature_supported_construct,role_task_prompt_vad,conditional,reimplement,R_VOLETI2019
S02,output_efficiency,voiced_fraction,patient_speech,all,lower_supports_impairment,literature_supported_construct,vad_role_task,conditional,reimplement,R_VOLETI2019
S02,output_efficiency,speech_run_mean_sec,patient_speech,all,lower_supports_impairment,literature_supported_construct,vad_role,conditional,reimplement,R_VOLETI2019
S02,output_efficiency,speech_run_rate_min,patient_speech,all,lower_supports_impairment,project_operational_hypothesis,vad_role_task,conditional,reimplement,R_PROJECT
S02,output_efficiency,speech_rate_wpm,patient_speech,language_specific,lower_supports_impairment_mixed,project_operational_hypothesis,asr_task_language,conditional,reimplement,R_PROJECT
S03,speech_continuity,speech_run_cv,patient_speech,all,higher_supports_fragmentation,literature_supported_construct,vad_role,conditional,reimplement,R_VOLETI2019
S04,intensity_stability,rms_db_mean,audio,all,no_clinical_direction,recording_qc_only,device_gain_distance,no,reimplement,R_GAUDER2024
S04,intensity_stability,rms_db_std,audio,all,no_clinical_direction,recording_qc_only,device_gain_distance,no,reimplement,R_GAUDER2024
S05,prosodic_variation,f0_median_hz,patient_speech,language_contextual,no_universal_direction,model_auxiliary_only,pitch_tracking_sex_emotion_voice,conditional,reimplement,R_PROJECT
S05,prosodic_variation,f0_iqr_hz,patient_speech,language_contextual,lower_may_support_reduced_variation,project_hypothesis_requires_validation,pitch_tracking_sex_emotion_voice,conditional,reimplement,R_PROJECT
S06,low_level_spectral_pattern,zcr_mean,audio,all,no_clinical_direction,model_auxiliary_only,device_codec_noise,no,reimplement,R_TRACEY2023
S06,low_level_spectral_pattern,spectral_centroid_mean,audio,all,no_clinical_direction,model_auxiliary_only,device_codec_noise,no,reimplement,R_TRACEY2023
S06,low_level_spectral_pattern,spectral_bandwidth_mean,audio,all,no_clinical_direction,model_auxiliary_only,device_codec_noise,no,reimplement,R_TRACEY2023
S06,low_level_spectral_pattern,spectral_rolloff_mean,audio,all,no_clinical_direction,model_auxiliary_only,device_codec_noise,no,reimplement,R_TRACEY2023
S06,low_level_spectral_pattern,spectral_flatness_mean,audio,all,no_clinical_direction,model_auxiliary_only,device_codec_noise,no,reimplement,R_TRACEY2023
S07,lexical_retrieval_specificity,pronoun_ratio,transcript,language_specific,higher_may_support_generic_expression,literature_supported_but_mechanism_uncertain,language_task_asr,conditional,reimplement,R_BITTNER2022
S07,lexical_retrieval_specificity,content_word_ratio,transcript,language_specific,lower_may_support_low_specificity,project_hypothesis_requires_validation,language_task_asr,conditional,reimplement,R_PROJECT
S07,lexical_retrieval_specificity,word_finding_pause_rate,aligned_audio_transcript,language_specific,higher_supports_retrieval_burden,planned_requires_algorithm,alignment_language_task,conditional,planned,R_PROJECT
S08,lexical_diversity,lexical_mattr50,transcript,language_specific,lower_supports_reduced_diversity,literature_supported_measure,sample_length_tokenization_asr,yes,reimplement,R_MCCARTHY2010
S08,lexical_diversity,lexical_ttr,transcript,language_specific,lower_supports_reduced_diversity,length_sensitive_measure,sample_length_tokenization_asr,conditional,reimplement,R_MCCARTHY2010
S08,lexical_diversity,lexical_mtld,transcript,language_specific,lower_supports_reduced_diversity,literature_supported_measure,sample_length_tokenization_asr,yes,planned,R_MCCARTHY2010
S09,semantic_coherence,global_semantic_coherence,transcript,language_task_specific,lower_supports_low_coherence,planned_requires_validated_semantic_method,task_language_model_shift,conditional,planned,R_BURKE2023
S09,semantic_coherence,topic_drift,transcript,language_task_specific,higher_supports_drift,planned_requires_validated_semantic_method,task_language_model_shift,conditional,planned,R_BURKE2023
S10,information_density,propositional_idea_density,transcript,language_specific,lower_may_support_low_density,literature_supported_construct_requires_parser,parser_language_asr,conditional,planned,R_SNOWDON1996
S10,information_density,task_content_units,task_scored,task_language_specific,lower_supports_low_content,planned_requires_validated_rubric,task_prompt_transcript,conditional,planned,R_PROJECT
S11,syntactic_complexity,mean_utterance_words,transcript,language_specific,lower_may_support_simplification,literature_supported_construct,asr_segmentation_task,conditional,reimplement,R_LYONS1994
S11,syntactic_complexity,dependency_length,transcript,language_specific,lower_may_support_simplification,literature_supported_but_task_sensitive,parser_language_asr,conditional,planned,R_LIAN2025
S12,disfluency_repair,filler_rate_100w,transcript,language_specific,mixed_by_filler_subtype,mixed_literature,asr_language_age_sex,conditional,reimplement,R_YUAN2021
S12,disfluency_repair,repair_rate_100w,transcript,language_specific,higher_may_support_burden,mixed_literature,asr_language_task,conditional,reimplement,R_PROJECT
S13,interaction_pragmatic_burden,patient_turn_share,role_aligned_interview,all,lower_may_support_interaction_burden,project_hypothesis_requires_protocol_validation,interviewer_style_role_error,conditional,reimplement,R_PROJECT
S14,task_performance,semantic_fluency_score,task_scored,language_specific,lower_supports_impairment,literature_supported_construct_requires_rubric,language_education_task,conditional,planned,R_HENRY2004
S14,task_performance,picture_content_score,task_scored,task_language_specific,lower_supports_impairment,planned_requires_validated_rubric,task_prompt_transcript,conditional,planned,R_PROJECT
QC,quality_control,duration_sec,recording,all,no_clinical_direction,recording_qc_only,task_prompt_editing,no,reimplement,R_CLARKE2021
QC,quality_control,recording_loudness,recording,all,no_clinical_direction,recording_qc_only,device_gain_distance,no,reimplement,R_GAUDER2024
QC,quality_control,asr_rate_outlier,aligned_audio_transcript,language_specific,no_clinical_direction,recording_qc_only,asr_alignment_segmentation,no,reimplement,R_PROJECT
