state_id,state_cn,state_group,channel,status,rows,active_rows,planned_rows,active_weight_sum,example_active_metrics,example_planned_metrics
S01,停顿/流畅性负担,声学流畅性,结构化医患对话,active,7,5,2,0.11011000000000001,长停顿发生率；平均非发声段长度；非发声段长度变异；回答启动延迟,无声段平均长度；无声段长度波动
S01,停顿/流畅性负担,声学流畅性,图片描述,active,14,10,4,0.17269999999999996,长停顿发生率；平均非发声段长度；非发声段长度变异；填充词比例,无声段平均长度；无声段长度波动
S01,停顿/流畅性负担,声学流畅性,疾病进展语音,active,7,5,2,0.09868,长停顿发生率；平均非发声段长度；非发声段长度变异；填充词比例,无声段平均长度；无声段长度波动
S01,停顿/流畅性负担,声学流畅性,TalkBank/DementiaBank,planned,9,0,9,0.0,,平均非发声段长度；非发声段长度变异；无声段平均长度；无声段长度波动
S01,停顿/流畅性负担,声学流畅性,公开视频,active,7,5,2,0.049350000000000005,长停顿发生率；平均非发声段长度；非发声段长度变异；填充词比例,无声段平均长度；无声段长度波动
S02,输出效率/语速效率,声学流畅性,结构化医患对话,active,3,2,1,0.048698,发声时间占比；总词数,录音/任务时长
S02,输出效率/语速效率,声学流畅性,图片描述,active,6,2,4,0.034789,发声时间占比；总词数,录音/任务时长；发声时间占比；总词数
S02,输出效率/语速效率,声学流畅性,疾病进展语音,active,3,2,1,0.048698,发声时间占比；总词数,录音/任务时长
S02,输出效率/语速效率,声学流畅性,TalkBank/DementiaBank,planned,7,0,7,0.0,,每分钟词数；语速；构音语速；总词数
S02,输出效率/语速效率,声学流畅性,公开视频,active,3,2,1,0.02087,发声时间占比；总词数,录音/任务时长
S03,发声/构音连续性,声学辅助,结构化医患对话,active,4,2,2,0.026369999999999998,每秒发声片段数；每秒响度峰值,有声段频率；响度峰频率/节奏
S03,发声/构音连续性,声学辅助,图片描述,active,8,4,4,0.04394,每秒发声片段数；每秒响度峰值,有声段频率；响度峰频率/节奏
S03,发声/构音连续性,声学辅助,疾病进展语音,active,4,2,2,0.04394,每秒发声片段数；每秒响度峰值,有声段频率；响度峰频率/节奏
S03,发声/构音连续性,声学辅助,TalkBank/DementiaBank,planned,8,0,8,0.0,,每秒发声片段数；有声段频率；响度峰频率/节奏；每秒响度峰值
S03,发声/构音连续性,声学辅助,公开视频,not_present,0,0,0,0.0,,
S04,声音质量,声学辅助,结构化医患对话,planned,1,0,1,0.0,,等效声级
S04,声音质量,声学辅助,图片描述,planned,2,0,2,0.0,,等效声级
S04,声音质量,声学辅助,疾病进展语音,not_present,0,0,0,0.0,,
S04,声音质量,声学辅助,TalkBank/DementiaBank,planned,10,0,10,0.0,,基频周期扰动；振幅扰动；谐噪比；等效声级
S04,声音质量,声学辅助,公开视频,not_present,0,0,0,0.0,,
