claim_id,claim,claim_class,directly_guaranteed_by_design,required_evidence,current_status,allowed_wording,forbidden_wording
T01,"Evidence objects carry identity, provenance, context, dependency and permission metadata","definition",yes,"schema and runtime contract","theory specified","We define evidence as an executable governed object","Every metric is independent clinical evidence"
T02,"Exact duplicate evidence does not increase support","structural invariant",conditional,"canonical identity resolution; source-group aggregation; duplicate injection tests","not yet verified in production","The architecture is designed for duplicate idempotence","The current production system is duplicate-proof"
T03,"Revoking a source removes all active downstream support","structural invariant",conditional,"complete dependency graph; revocation closure; incremental versus full replay","synthetic checker only","Revocation closure is a required system invariant","All real pipeline dependencies have been proven complete"
T04,"QC and model-only evidence cannot become clinician-facing evidence","structural invariant",conditional,"permission propagation; adversarial rename and Agent bypass tests","not yet verified in production","Permission non-escalation is enforced by the governance specification","The Agent can never make an unsupported clinical claim"
T05,"Evidence governance improves output stability","empirical hypothesis",no,"paired nuisance perturbation study with fixed model and facts","not tested formally","We test whether governance reduces sensitivity to irrelevant changes","Governance guarantees stable predictions"
T06,"Evidence governance improves diagnostic accuracy","empirical hypothesis",no,"nested model comparison; external datasets; confidence intervals; calibration","not established","Accuracy is evaluated independently from governance integrity","Governance necessarily improves AUROC"
T07,"The governed trace is faithful to actual system execution","empirical and engineering claim",no,"production event graph; replay; intervention; stale-node audit","not yet established","Trace faithfulness will be evaluated against execution logs","The diagram reveals the model's true reasoning"
T08,"The LLM internally follows the evidence graph","neural mechanism claim",no,"open-weight access; activation intervention; causal tracing","outside current closed-model scope","Closed models support only behavioral and interface-level tests","The LLM chain of thought proves internal evidence use"
T09,"A compact evidence set is non-inferior to the full set","empirical hypothesis",no,"nested group selection; external non-inferiority test; calibration and coverage","pilot structural motivation only","We evaluate whether a compact governed set retains performance","The current effective rank proves that only a fixed number of features is needed"
T10,"All evidence should be mutually orthogonal","invalid premise",no,"not applicable","rejected","Exact duplication should be removed and remaining dependence made explicit","All clinically useful measurements must be statistically independent"
T11,"Random train-test splitting proves the foundation model has never seen the dataset","invalid inference",no,"temporal or private data; contamination probes; model provenance","rejected","Local splitting controls project-level fitting leakage only","The test data are completely unseen by the foundation model"
T12,"Governance supports cross-language and cross-task generalization","empirical hypothesis",no,"leave-one-dataset; leave-one-language; leave-one-task validation","not established","We test whether governance effects transfer across contexts","The framework is universally generalizable"
T13,"The current pilot shows feature count is not effective evidence dimensionality","descriptive empirical claim",no,"reproducible structure audit on current feature tables","pilot supported","Current tables show exact relations and lower effective dimensionality","The pilot identifies the clinically optimal feature set"
T14,"Proof generation produces a mathematical proof of AD diagnosis","invalid premise",no,"not applicable","rejected","Proof generation creates integrity records, replayable execution and empirical support","The system proves that a patient has AD"
T15,"Clinical knowledge or a supervised probability is an additional independent patient observation","invalid inference",no,"provenance and information-source audit","rejected","Knowledge interprets evidence and model probability is a candidate prediction","The Agent receives three independent votes from evidence, knowledge and the supervised probability"
