state_id,state_cn,state_group,metric,metric_cn,status,active_weight,active_channels,planned_channels,report_permission,why
S01,停顿/流畅性负担,声学流畅性,MeanUnvoicedSegmentLength,平均非发声段长度,active,0.10653,公开视频; 图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标更贴近该 state 的临床含义，且相对更稳定/更可解释，所以在同一 state 内提高比例。
S01,停顿/流畅性负担,声学流畅性,StddevUnvoicedSegmentLength,非发声段长度变异,active,0.08605,公开视频; 图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。
S01,停顿/流畅性负担,声学流畅性,egemaps_MeanUnvoicedSegmentLength,无声段平均长度；功能统计：该属性在整段语音上的汇总值。,planned,0.0,,TalkBank/DementiaBank; 公开视频; 图片描述; 疾病进展语音; 结构化医患对话,排除：重复或QC敏感,该指标更受长度、录音条件、切分阈值或重复特征影响，所以在同一 state 内降低比例。 | 2026-07 revision: duplicate eGeMAPS copy of the same pause/continuity/loudness construct; active weight set to 0.
S01,停顿/流畅性负担,声学流畅性,egemaps_StddevUnvoicedSegmentLength,无声段长度波动；功能统计：该属性在整段语音上的汇总值。,planned,0.0,,TalkBank/DementiaBank; 公开视频; 图片描述; 疾病进展语音; 结构化医患对话,排除：重复或QC敏感,该指标更受长度、录音条件、切分阈值或重复特征影响，所以在同一 state 内降低比例。 | 2026-07 revision: duplicate eGeMAPS copy of the same pause/continuity/loudness construct; active weight set to 0.
S01,停顿/流畅性负担,声学流畅性,filler_rate,填充词比例,active,0.06966,公开视频; 图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。 | 2026-07 revision: filler direction is subtype- and habit-dependent; do not use as a stand-alone AD mechanism.
S01,停顿/流畅性负担,声学流畅性,long_pause_rate_per_min,长停顿发生率,active,0.11883,公开视频; 图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标更贴近该 state 的临床含义，且相对更稳定/更可解释，所以在同一 state 内提高比例。
S01,停顿/流畅性负担,声学流畅性,n_pauses_per_min,单位时间停顿次数,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S01,停顿/流畅性负担,声学流畅性,pause_mode_mean_sec,停顿时长模式均值,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S01,停顿/流畅性负担,声学流畅性,response_latency,回答启动延迟,active,0.049769999999999995,公开视频; 图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,可进入医生报告,该指标更贴近该 state 的临床含义，且相对更稳定/更可解释，所以在同一 state 内提高比例。
S02,输出效率/语速效率,声学流畅性,articulation_rate,构音语速,planned,0.0,,TalkBank/DementiaBank,重算前不进报告,"该指标有医学或工程价值，但当前抽取器、方向或跨任务稳定性还未完成校验。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S02,输出效率/语速效率,声学流畅性,duration_sec,录音/任务时长,planned,0.0,,TalkBank/DementiaBank; 公开视频; 图片描述; 疾病进展语音; 结构化医患对话,仅QC，不作为疾病证据,"该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。 | 2026-07 revision: duration/loudness are protocol or recording variables; use only for QC, normalization and negative controls."
S02,输出效率/语速效率,声学流畅性,mean_segment_words,平均片段词数,planned,0.0,,TalkBank/DementiaBank,重算前不进报告,"该指标有医学或工程价值，但当前抽取器、方向或跨任务稳定性还未完成校验。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S02,输出效率/语速效率,声学流畅性,n_words,总词数,active,0.022875,公开视频; 图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank; 图片描述,QC敏感辅助，不进医生报告,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。 | 2026-07 revision: total word count AUC is close to random and depends on task duration/transcription; retain only as low-reliability coverage signal.
S02,输出效率/语速效率,声学流畅性,phonation_time_ratio,发声时间占比,active,0.13018,公开视频; 图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank; 图片描述,谨慎作为临床支持证据,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。
S02,输出效率/语速效率,声学流畅性,speech_rate,语速,planned,0.0,,TalkBank/DementiaBank,重算前不进报告,"该指标有医学或工程价值，但当前抽取器、方向或跨任务稳定性还未完成校验。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S02,输出效率/语速效率,声学流畅性,words_per_min,每分钟词数,planned,0.0,,TalkBank/DementiaBank,重算前不进报告,"该指标有医学或工程价值，但当前抽取器、方向或跨任务稳定性还未完成校验。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S03,发声/构音连续性,声学辅助,MeanVoicedSegmentLengthSec,平均发声片段长度,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S03,发声/构音连续性,声学辅助,StddevVoicedSegmentLengthSec,发声片段长度变异,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S03,发声/构音连续性,声学辅助,VoicedSegmentsPerSec,每秒发声片段数,active,0.06444,图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标更贴近该 state 的临床含义，且相对更稳定/更可解释，所以在同一 state 内提高比例。
S03,发声/构音连续性,声学辅助,egemaps_MeanVoicedSegmentLengthSec,有声段平均长度；功能统计：该属性在整段语音上的汇总值。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S03,发声/构音连续性,声学辅助,egemaps_StddevVoicedSegmentLengthSec,有声段长度波动；功能统计：该属性在整段语音上的汇总值。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
